"run","default_observer_minPycor","DI_f_2","default_observer_minPxcor","DO_f_3","DO_f_2","DI_doublefail","randomSeed","DO_doublefail","default_observer_maxPycor","default_observer_maxPxcor","DI_s_3","DI_s_2","DI_f_3","DO_s_3","DO_s_2"
1,-16,-0.99,-16,-0.1,-0.2,-0.99,1997602124,-0.6,16,16,0.2,0.1,0.1,0.1,0.1
3,-16,-0.99,-16,-0.1,-0.2,-0.99,1997604891,-0.6,16,16,0.2,0.1,0.1,0.1,0.3
5,-16,-0.99,-16,-0.1,-0.2,-0.99,1997605860,-0.6,16,16,0.2,0.1,0.1,0.1,0.5
7,-16,-0.99,-16,-0.1,-0.2,-0.99,1997606922,-0.6,16,16,0.2,0.1,0.1,0.1,0.7
9,-16,-0.99,-16,-0.1,-0.2,-0.99,1997607752,-0.6,16,16,0.2,0.1,0.1,0.1,0.9
11,-16,-0.99,-16,-0.1,-0.2,-0.99,1997608318,-0.6,16,16,0.2,0.1,0.1,0.2,0.2
13,-16,-0.99,-16,-0.1,-0.2,-0.99,1997608722,-0.6,16,16,0.2,0.1,0.1,0.2,0.4
15,-16,-0.99,-16,-0.1,-0.2,-0.99,1997609218,-0.6,16,16,0.2,0.1,0.1,0.2,0.6
17,-16,-0.99,-16,-0.1,-0.2,-0.99,1997609388,-0.6,16,16,0.2,0.1,0.1,0.2,0.8
19,-16,-0.99,-16,-0.1,-0.2,-0.99,1997609650,-0.6,16,16,0.2,0.1,0.1,0.3,0.1
21,-16,-0.99,-16,-0.1,-0.2,-0.99,1997609827,-0.6,16,16,0.2,0.1,0.1,0.3,0.3
23,-16,-0.99,-16,-0.1,-0.2,-0.99,1997610229,-0.6,16,16,0.2,0.1,0.1,0.3,0.5
25,-16,-0.99,-16,-0.1,-0.2,-0.99,1997610395,-0.6,16,16,0.2,0.1,0.1,0.3,0.7
27,-16,-0.99,-16,-0.1,-0.2,-0.99,1997610560,-0.6,16,16,0.2,0.1,0.1,0.3,0.9
29,-16,-0.99,-16,-0.1,-0.2,-0.99,1997610675,-0.6,16,16,0.2,0.1,0.1,0.4,0.2
31,-16,-0.99,-16,-0.1,-0.2,-0.99,1997610920,-0.6,16,16,0.2,0.1,0.1,0.4,0.4
33,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611105,-0.6,16,16,0.2,0.1,0.1,0.4,0.6
35,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611203,-0.6,16,16,0.2,0.1,0.1,0.4,0.8
37,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611309,-0.6,16,16,0.2,0.1,0.1,0.5,0.1
39,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611419,-0.6,16,16,0.2,0.1,0.1,0.5,0.3
41,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611489,-0.6,16,16,0.2,0.1,0.1,0.5,0.5
43,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611550,-0.6,16,16,0.2,0.1,0.1,0.5,0.7
45,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611748,-0.6,16,16,0.2,0.1,0.1,0.5,0.9
47,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611851,-0.6,16,16,0.2,0.1,0.1,0.6,0.2
49,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611978,-0.6,16,16,0.2,0.1,0.1,0.6,0.4
51,-16,-0.99,-16,-0.1,-0.2,-0.99,1997612081,-0.6,16,16,0.2,0.1,0.1,0.6,0.6
53,-16,-0.99,-16,-0.1,-0.2,-0.99,1997612189,-0.6,16,16,0.2,0.1,0.1,0.6,0.8
55,-16,-0.99,-16,-0.1,-0.2,-0.99,1997612298,-0.6,16,16,0.2,0.1,0.1,0.7,0.1
57,-16,-0.99,-16,-0.1,-0.2,-0.99,1997612491,-0.6,16,16,0.2,0.1,0.1,0.7,0.3
59,-16,-0.99,-16,-0.1,-0.2,-0.99,1997612622,-0.6,16,16,0.2,0.1,0.1,0.7,0.5
61,-16,-0.99,-16,-0.1,-0.2,-0.99,1997612711,-0.6,16,16,0.2,0.1,0.1,0.7,0.7
63,-16,-0.99,-16,-0.1,-0.2,-0.99,1997612789,-0.6,16,16,0.2,0.1,0.1,0.7,0.9
65,-16,-0.99,-16,-0.1,-0.2,-0.99,1997612959,-0.6,16,16,0.2,0.1,0.1,0.8,0.2
67,-16,-0.99,-16,-0.1,-0.2,-0.99,1997613018,-0.6,16,16,0.2,0.1,0.1,0.8,0.4
69,-16,-0.99,-16,-0.1,-0.2,-0.99,1997613097,-0.6,16,16,0.2,0.1,0.1,0.8,0.6
71,-16,-0.99,-16,-0.1,-0.2,-0.99,1997613233,-0.6,16,16,0.2,0.1,0.1,0.8,0.8
73,-16,-0.99,-16,-0.1,-0.2,-0.99,1997613322,-0.6,16,16,0.2,0.1,0.1,0.9,0.1
75,-16,-0.99,-16,-0.1,-0.2,-0.99,1997613416,-0.6,16,16,0.2,0.1,0.1,0.9,0.3
77,-16,-0.99,-16,-0.1,-0.2,-0.99,1997613537,-0.6,16,16,0.2,0.1,0.1,0.9,0.5
79,-16,-0.99,-16,-0.1,-0.2,-0.99,1997613690,-0.6,16,16,0.2,0.1,0.1,0.9,0.7
81,-16,-0.99,-16,-0.1,-0.2,-0.99,1997613745,-0.6,16,16,0.2,0.1,0.1,0.9,0.9
2,-16,-0.99,-16,-0.1,-0.2,-0.99,1997602195,-0.6,16,16,0.2,0.1,0.1,0.1,0.2
4,-16,-0.99,-16,-0.1,-0.2,-0.99,1997605573,-0.6,16,16,0.2,0.1,0.1,0.1,0.4
6,-16,-0.99,-16,-0.1,-0.2,-0.99,1997606645,-0.6,16,16,0.2,0.1,0.1,0.1,0.6
8,-16,-0.99,-16,-0.1,-0.2,-0.99,1997607471,-0.6,16,16,0.2,0.1,0.1,0.1,0.8
10,-16,-0.99,-16,-0.1,-0.2,-0.99,1997608231,-0.6,16,16,0.2,0.1,0.1,0.2,0.1
12,-16,-0.99,-16,-0.1,-0.2,-0.99,1997608709,-0.6,16,16,0.2,0.1,0.1,0.2,0.3
14,-16,-0.99,-16,-0.1,-0.2,-0.99,1997609378,-0.6,16,16,0.2,0.1,0.1,0.2,0.5
16,-16,-0.99,-16,-0.1,-0.2,-0.99,1997609622,-0.6,16,16,0.2,0.1,0.1,0.2,0.7
18,-16,-0.99,-16,-0.1,-0.2,-0.99,1997609866,-0.6,16,16,0.2,0.1,0.1,0.2,0.9
20,-16,-0.99,-16,-0.1,-0.2,-0.99,1997610104,-0.6,16,16,0.2,0.1,0.1,0.3,0.2
22,-16,-0.99,-16,-0.1,-0.2,-0.99,1997610299,-0.6,16,16,0.2,0.1,0.1,0.3,0.4
24,-16,-0.99,-16,-0.1,-0.2,-0.99,1997610585,-0.6,16,16,0.2,0.1,0.1,0.3,0.6
26,-16,-0.99,-16,-0.1,-0.2,-0.99,1997610671,-0.6,16,16,0.2,0.1,0.1,0.3,0.8
28,-16,-0.99,-16,-0.1,-0.2,-0.99,1997610789,-0.6,16,16,0.2,0.1,0.1,0.4,0.1
30,-16,-0.99,-16,-0.1,-0.2,-0.99,1997610898,-0.6,16,16,0.2,0.1,0.1,0.4,0.3
32,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611169,-0.6,16,16,0.2,0.1,0.1,0.4,0.5
34,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611277,-0.6,16,16,0.2,0.1,0.1,0.4,0.7
36,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611366,-0.6,16,16,0.2,0.1,0.1,0.4,0.9
38,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611450,-0.6,16,16,0.2,0.1,0.1,0.5,0.2
40,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611507,-0.6,16,16,0.2,0.1,0.1,0.5,0.4
42,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611606,-0.6,16,16,0.2,0.1,0.1,0.5,0.6
44,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611725,-0.6,16,16,0.2,0.1,0.1,0.5,0.8
46,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611794,-0.6,16,16,0.2,0.1,0.1,0.6,0.1
48,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611872,-0.6,16,16,0.2,0.1,0.1,0.6,0.3
50,-16,-0.99,-16,-0.1,-0.2,-0.99,1997611965,-0.6,16,16,0.2,0.1,0.1,0.6,0.5
52,-16,-0.99,-16,-0.1,-0.2,-0.99,1997612040,-0.6,16,16,0.2,0.1,0.1,0.6,0.7
54,-16,-0.99,-16,-0.1,-0.2,-0.99,1997612113,-0.6,16,16,0.2,0.1,0.1,0.6,0.9
56,-16,-0.99,-16,-0.1,-0.2,-0.99,1997612188,-0.6,16,16,0.2,0.1,0.1,0.7,0.2
