"run","Winner"
1,"empty"
1,"Spy"
3,"empty"
3,"Spy"
5,"empty"
5,"Spy"
7,"empty"
7,"Spy"
9,"empty"
9,"Spy"
11,"empty"
11,"Resistance"
13,"empty"
13,"Resistance"
15,"empty"
15,"Spy"
17,"empty"
17,"Spy"
19,"empty"
19,"Resistance"
21,"empty"
21,"Spy"
23,"empty"
23,"Resistance"
25,"empty"
25,"Spy"
27,"empty"
27,"Spy"
29,"empty"
29,"Resistance"
31,"empty"
31,"Spy"
33,"empty"
33,"Resistance"
35,"empty"
35,"Resistance"
37,"empty"
37,"Spy"
39,"empty"
39,"Spy"
41,"empty"
41,"Spy"
43,"empty"
43,"Spy"
45,"empty"
45,"Resistance"
47,"empty"
47,"Spy"
49,"empty"
49,"Spy"
51,"empty"
51,"Resistance"
53,"empty"
53,"Spy"
55,"empty"
55,"Resistance"
57,"empty"
57,"Spy"
59,"empty"
59,"Spy"
61,"empty"
61,"Spy"
63,"empty"
63,"Resistance"
65,"empty"
65,"Spy"
67,"empty"
67,"Spy"
69,"empty"
69,"Spy"
71,"empty"
71,"Resistance"
73,"empty"
73,"Spy"
75,"empty"
75,"Resistance"
77,"empty"
77,"Resistance"
79,"empty"
79,"Resistance"
81,"empty"
81,"Spy"
2,"empty"
2,"Spy"
4,"empty"
4,"Spy"
6,"empty"
6,"Resistance"
8,"empty"
8,"Spy"
10,"empty"
10,"Resistance"
12,"empty"
12,"Resistance"
14,"empty"
14,"Spy"
16,"empty"
16,"Spy"
18,"empty"
18,"Resistance"
20,"empty"
20,"Spy"
22,"empty"
22,"Spy"
24,"empty"
24,"Resistance"
26,"empty"
26,"Resistance"
28,"empty"
28,"Resistance"
30,"empty"
30,"Spy"
32,"empty"
32,"Spy"
34,"empty"
34,"Spy"
36,"empty"
36,"Spy"
38,"empty"
38,"Resistance"
40,"empty"
40,"Resistance"
42,"empty"
42,"Spy"
44,"empty"
44,"Spy"
46,"empty"
46,"Spy"
48,"empty"
48,"Spy"
50,"empty"
50,"Resistance"
52,"empty"
52,"Spy"
54,"empty"
54,"Spy"
56,"empty"
56,"Spy"
58,"empty"
58,"Resistance"
60,"empty"
60,"Resistance"
62,"empty"
62,"Spy"
64,"empty"
64,"Spy"
66,"empty"
66,"Resistance"
68,"empty"
68,"Resistance"
70,"empty"
70,"Resistance"
72,"empty"
72,"Spy"
74,"empty"
74,"Spy"
76,"empty"
76,"Spy"
78,"empty"
78,"Spy"
80,"empty"
80,"Resistance"
