"run","default_observer_minPycor","DI_f_2","default_observer_minPxcor","DO_f_3","DO_f_2","DI_doublefail","randomSeed","DO_doublefail","default_observer_maxPycor","default_observer_maxPxcor","DI_s_3","DI_s_2","DI_f_3","DO_s_3","DO_s_2"
1,-16,-0.99,-16,-0.1,-0.2,-0.99,1398863496,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
3,-16,-0.99,-16,-0.1,-0.2,-0.99,1398867533,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
5,-16,-0.99,-16,-0.1,-0.2,-0.99,1398868986,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
7,-16,-0.99,-16,-0.1,-0.2,-0.99,1398869957,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
9,-16,-0.99,-16,-0.1,-0.2,-0.99,1398871179,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
11,-16,-0.99,-16,-0.1,-0.2,-0.99,1398871884,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
13,-16,-0.99,-16,-0.1,-0.2,-0.99,1398872238,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
15,-16,-0.99,-16,-0.1,-0.2,-0.99,1398872486,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
17,-16,-0.99,-16,-0.1,-0.2,-0.99,1398872954,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
19,-16,-0.99,-16,-0.1,-0.2,-0.99,1398873192,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
21,-16,-0.99,-16,-0.1,-0.2,-0.99,1398873722,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
23,-16,-0.99,-16,-0.1,-0.2,-0.99,1398874151,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
25,-16,-0.99,-16,-0.1,-0.2,-0.99,1398874292,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
27,-16,-0.99,-16,-0.1,-0.2,-0.99,1398874535,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
29,-16,-0.99,-16,-0.1,-0.2,-0.99,1398874690,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
2,-16,-0.99,-16,-0.1,-0.2,-0.99,1398863993,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
4,-16,-0.99,-16,-0.1,-0.2,-0.99,1398868589,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
6,-16,-0.99,-16,-0.1,-0.2,-0.99,1398869788,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
8,-16,-0.99,-16,-0.1,-0.2,-0.99,1398870950,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
10,-16,-0.99,-16,-0.1,-0.2,-0.99,1398871654,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
12,-16,-0.99,-16,-0.1,-0.2,-0.99,1398871995,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
14,-16,-0.99,-16,-0.1,-0.2,-0.99,1398872327,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
16,-16,-0.99,-16,-0.1,-0.2,-0.99,1398872592,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
18,-16,-0.99,-16,-0.1,-0.2,-0.99,1398873128,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
20,-16,-0.99,-16,-0.1,-0.2,-0.99,1398873319,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
22,-16,-0.99,-16,-0.1,-0.2,-0.99,1398873867,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
24,-16,-0.99,-16,-0.1,-0.2,-0.99,1398874304,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
26,-16,-0.99,-16,-0.1,-0.2,-0.99,1398874376,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
28,-16,-0.99,-16,-0.1,-0.2,-0.99,1398874549,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
30,-16,-0.99,-16,-0.1,-0.2,-0.99,1398874630,-0.6,16,16,0.1,0.4,-0.1,0.1,0.2
