"run","Winner"
1,"empty"
1,"Spy"
3,"empty"
3,"Spy"
5,"empty"
5,"Spy"
7,"empty"
7,"Spy"
9,"empty"
9,"Resistance"
11,"empty"
11,"Resistance"
13,"empty"
13,"Spy"
15,"empty"
15,"Resistance"
17,"empty"
17,"Resistance"
19,"empty"
19,"Spy"
21,"empty"
21,"Spy"
23,"empty"
23,"Spy"
25,"empty"
25,"Resistance"
27,"empty"
27,"Spy"
29,"empty"
29,"Resistance"
31,"empty"
31,"Spy"
33,"empty"
33,"Resistance"
35,"empty"
35,"Resistance"
37,"empty"
37,"Spy"
39,"empty"
39,"Spy"
41,"empty"
41,"Resistance"
43,"empty"
43,"Resistance"
45,"empty"
45,"Resistance"
47,"empty"
47,"Resistance"
49,"empty"
49,"Spy"
51,"empty"
51,"Resistance"
53,"empty"
53,"Resistance"
55,"empty"
55,"Spy"
57,"empty"
57,"Spy"
59,"empty"
59,"Spy"
61,"empty"
61,"Spy"
63,"empty"
63,"Spy"
65,"empty"
65,"Spy"
67,"empty"
67,"Spy"
69,"empty"
69,"Resistance"
71,"empty"
71,"Resistance"
73,"empty"
73,"Spy"
75,"empty"
75,"Spy"
77,"empty"
77,"Spy"
79,"empty"
79,"Spy"
81,"empty"
81,"Spy"
83,"empty"
83,"Spy"
85,"empty"
85,"Spy"
87,"empty"
87,"Spy"
89,"empty"
89,"Spy"
91,"empty"
91,"Spy"
93,"empty"
93,"Spy"
95,"empty"
95,"Spy"
97,"empty"
97,"Spy"
99,"empty"
99,"Resistance"
101,"empty"
101,"Resistance"
103,"empty"
103,"Resistance"
105,"empty"
105,"Resistance"
107,"empty"
107,"Spy"
109,"empty"
109,"Resistance"
111,"empty"
111,"Spy"
113,"empty"
113,"Spy"
115,"empty"
115,"Spy"
117,"empty"
117,"Spy"
119,"empty"
119,"Spy"
121,"empty"
121,"Spy"
2,"empty"
2,"Spy"
4,"empty"
4,"Spy"
6,"empty"
6,"Spy"
8,"empty"
8,"Spy"
10,"empty"
10,"Spy"
12,"empty"
12,"Spy"
14,"empty"
14,"Spy"
16,"empty"
16,"Resistance"
18,"empty"
18,"Resistance"
20,"empty"
20,"Resistance"
22,"empty"
22,"Spy"
24,"empty"
24,"Spy"
26,"empty"
26,"Spy"
28,"empty"
28,"Spy"
30,"empty"
30,"Spy"
32,"empty"
32,"Spy"
34,"empty"
34,"Spy"
36,"empty"
36,"Spy"
38,"empty"
38,"Resistance"
40,"empty"
40,"Spy"
42,"empty"
42,"Resistance"
44,"empty"
44,"Spy"
46,"empty"
46,"Resistance"
48,"empty"
48,"Spy"
50,"empty"
50,"Spy"
52,"empty"
52,"Resistance"
54,"empty"
54,"Spy"
56,"empty"
56,"Spy"
58,"empty"
58,"Spy"
60,"empty"
60,"Spy"
62,"empty"
62,"Spy"
64,"empty"
64,"Spy"
66,"empty"
66,"Resistance"
68,"empty"
68,"Resistance"
70,"empty"
70,"Spy"
72,"empty"
72,"Spy"
74,"empty"
74,"Spy"
76,"empty"
76,"Resistance"
78,"empty"
78,"Spy"
80,"empty"
80,"Spy"
82,"empty"
82,"Spy"
84,"empty"
84,"Spy"
86,"empty"
86,"Resistance"
88,"empty"
88,"Spy"
90,"empty"
90,"Spy"
92,"empty"
92,"Spy"
94,"empty"
94,"Spy"
96,"empty"
96,"Spy"
98,"empty"
98,"Resistance"
100,"empty"
100,"Spy"
102,"empty"
102,"Spy"
104,"empty"
104,"Resistance"
106,"empty"
106,"Spy"
108,"empty"
108,"Resistance"
110,"empty"
110,"Spy"
112,"empty"
112,"Spy"
114,"empty"
114,"Spy"
116,"empty"
116,"Spy"
118,"empty"
118,"Resistance"
120,"empty"
120,"Spy"
